YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
1999,Stand-up comedian,6/24/1999,Comedy,Richard Belzer
1999,Comedian,6/28/1999,Comedy,Margaret Cho
1999,actor,6/29/1999,Acting,Scott Wolf
1999,actress,6/30/1999,Acting,Roseanne Barr
1999,singer,6/7/1999,Musician,Harry Connick Jr.
1999,comedian,6/8/1999,Comedy,Caroline Rhea
1999,actor,6/9/1999,Acting,Damon Wayans
1999,actor,7/1/1999,Acting,Rob Schneider
1999,televison actor,7/12/1999,Acting,Adam Arkin
1999,muppet,7/13/1999,Media,Miss Piggy
1999,actor,7/14/1999,Acting,John Leguizamo
1999,Stand-up comedian,7/15/1999,Comedy,Robert Klein
1999,actress,7/19/1999,Acting,Christa Miller
1999,stand-up comedian,7/20/1999,Comedy,David Brenner
1999,NA,7/21/1999,NA,Third Anniversary Special
1999,actress,7/22/1999,Acting,Joely Fisher
1999,singer,7/26/1999,Musician,Donny Osmond
1999,actress,7/27/1999,Acting,Wendie Malick
1999,Vocalist,7/28/1999,Musician,Vince Neil
1999,film actress,7/29/1999,Acting,Janeane Garofalo
1999,comedian,8/10/1999,Comedy,Dom Irrera
1999,actor,8/11/1999,Acting,Pierce Brosnan
1999,director,8/12/1999,Media,Eduardo Sanchez and Daniel Myrick
1999,film director,8/12/1999,Media,Eduardo Sanchez and Daniel Myrick
1999,american television personality,8/16/1999,Media,Carson Daly
1999,actress,8/17/1999,Acting,Molly Ringwald
1999,actress,8/18/1999,Acting,Sarah Jessica Parker
1999,actor,8/19/1999,Acting,French Stewart
1999,actress,8/2/1999,Acting,Bebe Neuwirth
1999,actress,8/23/1999,Acting,Cheryl Ladd
1999,rapper,8/24/1999,Musician,LL Cool J
1999,singer-songwriter,8/25/1999,Musician,Dwight Yoakam
1999,actress,8/26/1999,Acting,Nia Long
1999,actor,8/3/1999,Acting,Garry Marshall
1999,NA,8/30/1999,NA,The Daily Show Summer Spectacular
1999,actor,8/4/1999,Acting,Denis Leary
1999,actor,8/5/1999,Acting,Jeffrey Tambor
1999,actor,8/9/1999,Acting,Dave Foley
1999,comedian,9/13/1999,Comedy,Elayne Boosler
1999,actor,9/14/1999,Acting,Tom Green
1999,actor,9/15/1999,Acting,Jason Priestley
